"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
"mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild","mild"
